layout,family,bpw_kernel,med_ms,min_ms,max_ms,gb_read,gbps,ratio_vs_fp16,ratio_lo,ratio_hi,source
nullk,floor,0.159,4.107,4.106,4.118,0.07,18,1.68,1.68,1.68,f4-a100-2026-08-18.txt
FP16,control,16.000,6.915,6.908,6.917,7.27,1052,1.00,1.00,1.00,f4-a100-2026-08-18.txt
cuBLASf16,control,16.000,6.041,6.035,6.050,7.27,1204,1.14,1.14,1.15,f4-a100-2026-08-18.txt
Slot32,ours,5.510,9.413,9.410,9.415,2.50,266,0.73,0.73,0.73,f4-a100-2026-08-18.txt
Planes14,ours,4.804,8.742,8.732,8.748,2.18,250,0.79,0.79,0.79,f4-a100-2026-08-18.txt
Planes12x,ours,4.342,9.423,9.418,9.433,1.97,209,0.73,0.73,0.73,f4-a100-2026-08-18.txt
Golay70v1,ours,3.589,15.705,15.704,15.712,1.63,104,0.44,0.44,0.44,f4-a100-2026-08-18.txt
Golay70v2,ours,3.589,11.121,11.118,11.130,1.63,147,0.62,0.62,0.62,f4-a100-2026-08-18.txt
AWQ,competitor,4.179,3.793,3.791,3.794,1.90,501,1.82,1.82,1.82,f4-a100-2026-08-18.txt
