model,params_total,arm,ppl,ppl_ratio_vs_f16,mmlu_micro_pct,mmlu_stderr_pp,mmlu_delta_pp,mmlu_retained_pct,vram_bits_per_param,vram_margin_vs_awq_pct,vram_config,vram_source
Qwen3-4B,4022468096,f16,12.2369,1.0000,70.32,1.28,0.00,100.0,16.000,,f16 modele entier (2 octets par parametre),exact par construction
Qwen3-4B,4022468096,awq4,13.5207,1.1049,70.04,1.25,-0.28,99.6,5.302,,AWQ w4 g128 depot officiel Qwen (octets safetensors / params_total),mesures/rtbits-planes-8b-2026-08-09.txt + proofs/preregistration-2026-08-11.md (2666027672 o -> 5.3023)
Qwen3-4B,4022468096,llvq2,16.9422,1.3845,55.59,1.35,-14.73,79.1,5.162,-2.6,Planes14 + embedding q8 = la configuration SERVIE,mesures/rtbits-planes-8b-2026-08-09.txt (l. 352 et 382)
Qwen3-8B,8190735360,f16,8.9899,1.0000,76.08,1.21,0.00,100.0,16.000,,f16 modele entier (2 octets par parametre),exact par construction
Qwen3-8B,8190735360,awq4,9.4211,1.0480,73.01,1.26,-3.07,96.0,5.956,,AWQ w4 g128 depot officiel Qwen (route TAUX ; la route OCTETS rend 5.9566),mesures/rtbits-planes-8b-2026-08-09.txt (l. 447)
Qwen3-8B,8190735360,llvq2,10.9682,1.2201,65.52,1.31,-10.56,86.1,5.322,-10.6,Planes14 + embedding q8 = la configuration SERVIE,mesures/rtbits-planes-8b-2026-08-09.txt (l. 342 et 382 ; tableau-8b.csv porte 5.323 par l autre route)
Qwen3-14B,14768307200,f16,7.9820,1.0000,78.97,1.19,0.00,100.0,16.000,,f16 modele entier (2 octets par parametre),exact par construction
Qwen3-14B,14768307200,awq4,8.2858,1.0381,78.21,1.20,-0.76,99.0,5.404,,AWQ w4 g128 depot officiel Qwen (octets safetensors / params_total),mesures/rtbits-14b-2026-08-17.txt (9976690240 o -> 5.4044)
Qwen3-14B,14768307200,llvq2,9.4936,1.1894,72.12,1.24,-6.85,91.3,5.106,-5.5,Planes14 + embedding q8 = la configuration SERVIE,mesures/rtbits-14b-2026-08-17.txt (section 2)
