# hratio, natural basis, f32 device arithmetic
# sealed=/Users/pjmalandrino/qwen3-4b-tetra-q5.bin calib=wikitext2 tokens=16384
block	proj	d_out	d_in	tetra_wH	int4_wH	ratio
23	mlp.up_proj	9728	2560	2.033072510e2	5.325152588e1	3.817867
23	mlp.down_proj	2560	9728	4.292712402e1	9.293873787e0	4.618862
24	self_attn.q_proj	4096	2560	2.118645630e2	9.041748810e1	2.343181
24	self_attn.k_proj	1024	2560	4.210015488e1	2.801952744e1	1.502529
24	self_attn.o_proj	2560	4096	2.361357689e1	7.588590622e0	3.111721
24	mlp.gate_proj	9728	2560	2.335437012e2	7.665690613e1	3.046610
24	mlp.up_proj	9728	2560	2.172232208e2	5.880160904e1	3.694171
24	mlp.down_proj	2560	9728	5.474777222e1	1.122020912e1	4.879390
25	self_attn.q_proj	4096	2560	1.472844543e2	7.060072327e1	2.086161
25	self_attn.k_proj	1024	2560	3.394897842e1	2.181719208e1	1.556065
25	self_attn.o_proj	2560	4096	1.377791214e1	3.930559874e0	3.505331
25	mlp.gate_proj	9728	2560	2.707765503e2	8.569674683e1	3.159706
25	mlp.up_proj	9728	2560	2.462514954e2	6.537605286e1	3.766693
25	mlp.down_proj	2560	9728	6.387215424e1	1.293835258e1	4.936653
26	self_attn.q_proj	4096	2560	2.374130554e2	1.020738525e2	2.325895
26	self_attn.k_proj	1024	2560	5.041883469e1	2.805112076e1	1.797391
26	self_attn.o_proj	2560	4096	1.653779602e1	3.679018497e0	4.495165
26	mlp.gate_proj	9728	2560	3.307080078e2	9.885560608e1	3.345364
26	mlp.up_proj	9728	2560	3.070585327e2	7.865946960e1	3.903644
26	mlp.down_proj	2560	9728	7.291163635e1	1.440445328e1	5.061743
27	self_attn.q_proj	4096	2560	2.864706421e2	1.224450455e2	2.339585
27	self_attn.k_proj	1024	2560	5.790550232e1	3.285837173e1	1.762275
27	self_attn.o_proj	2560	4096	2.628640938e1	5.818707466e0	4.517568
27	mlp.gate_proj	9728	2560	3.788377075e2	1.060894928e2	3.570926
27	mlp.up_proj	9728	2560	3.618856812e2	8.831489563e1	4.097674
27	mlp.down_proj	2560	9728	9.562506104e1	1.998577881e1	4.784655
28	self_attn.q_proj	4096	2560	2.872550659e2	1.443451843e2	1.990056
28	self_attn.k_proj	1024	2560	5.938263702e1	4.403904724e1	1.348409
28	self_attn.o_proj	2560	4096	2.537453842e1	7.534863472e0	3.367618
28	mlp.gate_proj	9728	2560	4.283243713e2	1.148194733e2	3.730416
28	mlp.up_proj	9728	2560	4.235568542e2	1.010188141e2	4.192851
28	mlp.down_proj	2560	9728	1.263682709e2	2.756303406e1	4.584701
29	self_attn.q_proj	4096	2560	5.985358887e2	2.911174011e2	2.055995
29	self_attn.k_proj	1024	2560	1.212313614e2	7.778909302e1	1.558462
29	self_attn.o_proj	2560	4096	4.109284973e1	8.306331635e0	4.947172
29	mlp.gate_proj	9728	2560	5.172905273e2	1.249012299e2	4.141597
29	mlp.up_proj	9728	2560	5.232325439e2	1.149437027e2	4.552077
29	mlp.down_proj	2560	9728	1.726268616e2	3.148836708e1	5.482242
30	self_attn.q_proj	4096	2560	7.701889648e2	3.770814514e2	2.042500
30	self_attn.k_proj	1024	2560	1.847568665e2	1.145423737e2	1.613000
30	self_attn.o_proj	2560	4096	6.009844589e1	1.177031136e1	5.105935
30	mlp.gate_proj	9728	2560	5.297655029e2	1.280523071e2	4.137102
30	mlp.up_proj	9728	2560	5.659825439e2	1.229345245e2	4.603935
30	mlp.down_proj	2560	9728	2.472321014e2	4.424627686e1	5.587636
31	self_attn.q_proj	4096	2560	9.432420044e2	4.461964722e2	2.113961
31	self_attn.k_proj	1024	2560	2.345661926e2	1.437342834e2	1.631943
31	self_attn.o_proj	2560	4096	7.079829407e1	1.393685246e1	5.079934
31	mlp.gate_proj	9728	2560	5.301909180e2	1.195798798e2	4.433780
31	mlp.up_proj	9728	2560	5.923507690e2	1.222693939e2	4.844637
31	mlp.down_proj	2560	9728	3.412327881e2	6.056734467e1	5.633940
32	self_attn.q_proj	4096	2560	1.202021729e3	7.006063232e2	1.715688
32	self_attn.k_proj	1024	2560	2.720556946e2	1.938599243e2	1.403362
32	self_attn.o_proj	2560	4096	1.106325455e2	1.826137543e1	6.058281
32	mlp.gate_proj	9728	2560	5.646795654e2	1.228076324e2	4.598082
32	mlp.up_proj	9728	2560	6.484284668e2	1.295929260e2	5.003579
32	mlp.down_proj	2560	9728	4.769145508e2	7.498875427e1	6.359814
33	self_attn.q_proj	4096	2560	1.569495850e3	1.170305664e3	1.341099
33	self_attn.k_proj	1024	2560	2.695687866e2	2.785691833e2	0.967691
33	self_attn.o_proj	2560	4096	1.748172302e2	3.475933456e1	5.029361
33	mlp.gate_proj	9728	2560	5.906007080e2	1.364679565e2	4.327761
33	mlp.up_proj	9728	2560	7.010119629e2	1.467217407e2	4.777833
33	mlp.down_proj	2560	9728	5.773646851e2	1.079957733e2	5.346179
34	self_attn.q_proj	4096	2560	2.329379395e3	1.229187256e3	1.895057
34	self_attn.k_proj	1024	2560	5.206101074e2	3.266763611e2	1.593657
34	self_attn.o_proj	2560	4096	3.005080261e2	8.498512268e1	3.536007
34	mlp.gate_proj	9728	2560	6.772857666e2	1.958181458e2	3.458749
34	mlp.up_proj	9728	2560	7.581804199e2	2.008997803e2	3.773924
34	mlp.down_proj	2560	9728	6.809522705e2	2.537118683e2	2.683959
35	self_attn.q_proj	4096	2560	1.475547119e3	5.982057495e2	2.466621
35	self_attn.k_proj	1024	2560	3.480858765e2	1.672164459e2	2.081649
35	self_attn.o_proj	2560	4096	2.572669373e2	7.269608307e1	3.538938
35	mlp.gate_proj	9728	2560	8.562434692e2	4.650525208e2	1.841176
35	mlp.up_proj	9728	2560	8.909586182e2	4.133336182e2	2.155544
35	mlp.down_proj	2560	9728	8.585359497e2	8.699695435e2	0.986857
